Date,Mkt-RF_VM,SMB_VM,HML_VM,Mom_VM,Mkt-RF,SMB,HML,Mom,RF
1927-01,-0.3198,-1.5569,20.1844,3.2973,-0.0500,-0.3200,4.5800,0.5700,0.2500
1927-02,27.7062,0.2845,3.3096,-7.4847,4.1700,0.0700,2.7200,-1.5000,0.2600
1927-03,1.8149,-5.2347,-3.2726,30.6068,0.1400,-1.7700,-2.3800,3.5200,0.3000
1927-04,1.5530,1.5346,1.6622,16.6030,0.4700,0.3900,0.6500,4.3600,0.2500
1927-05,26.7021,9.4955,11.5349,10.1310,5.4500,1.5500,4.8000,2.7800,0.3000
1927-06,-19.2648,1.4638,-5.0083,1.9322,-2.3800,0.5100,-1.7200,0.5500,0.2600
1927-07,27.0495,-16.2992,-2.1251,13.6951,7.2600,-3.2700,-1.1300,4.2200,0.3000
1927-08,15.5697,-3.2787,-19.2890,8.0931,1.9900,-0.7700,-3.8500,1.2500,0.2800
1927-09,11.8253,-16.6807,-1.5745,3.6454,4.7700,-3.6000,-0.5700,1.9300,0.2100
1927-10,-12.3331,9.1181,-31.6685,-3.3267,-4.2900,2.0300,-4.4700,-0.9200,0.2500
1927-11,15.0494,8.6441,-0.1482,-0.4954,6.5200,2.7800,-0.0800,-0.2200,0.2100
1927-12,8.3211,4.9954,-8.5556,8.2112,2.0900,0.9800,-1.1200,3.1100,0.2200
1928-01,-3.1452,13.8915,-2.1174,-1.7138,-0.5700,4.2000,-0.7100,-0.4600,0.2500
1928-02,-6.1908,-4.9628,-6.2220,-5.9286,-1.6900,-2.0600,-0.6400,-1.0700,0.3300
1928-03,34.5777,-1.1088,-4.3897,38.8439,8.7900,-0.3800,-1.1100,4.7000,0.2900
1928-04,12.1660,10.8256,7.6520,-10.1221,4.2500,4.1400,3.2500,-5.8500,0.2200
1928-05,3.2934,9.4008,-6.6604,9.1273,1.5200,2.7000,-3.0000,2.6400,0.3200
1928-06,-8.1939,-8.9236,0.7255,3.8861,-4.9000,-3.7600,0.2800,1.7900,0.3100
1928-07,0.4294,-0.7214,-1.5292,3.4225,0.6300,-1.3600,-0.5400,2.6700,0.3200
1928-08,12.2031,-16.1275,-6.9701,13.4661,6.6900,-2.0400,-2.1300,3.6800,0.3200
1928-09,7.8258,12.1376,4.4707,15.2809,2.8700,2.4000,0.8400,3.4000,0.2700
1928-10,5.8046,10.0659,-9.0854,15.8167,1.3100,2.2400,-2.1400,5.1100,0.4100
1928-11,47.0773,-5.5539,6.8755,7.4361,11.8200,-1.8200,2.6500,1.7800,0.3800
1928-12,0.7010,-2.5472,-1.1745,6.5011,0.4000,-0.9300,-0.5200,1.5800,0.0600
1929-01,3.2352,-4.6998,-2.5890,2.5527,4.6600,-3.3500,-1.2200,2.4300,0.3400
1929-02,-0.7012,-0.8350,4.4637,12.1238,-0.3400,-0.3300,1.6600,3.1000,0.3600
1929-03,-0.9438,-10.6622,3.9312,-0.8313,-0.8500,-4.9100,1.5700,-0.5400,0.3400
1929-04,1.0557,-0.9880,3.3059,6.9590,1.4700,-1.1200,0.9300,2.0700,0.3600
1929-05,-9.5023,-10.4728,-3.2494,-4.5301,-6.3800,-5.4400,-1.5200,-2.3200,0.4400
1929-06,7.4558,-2.1682,-9.1922,11.3236,9.7000,-2.1400,-2.7400,8.3100,0.5200
1929-07,10.7396,-13.2890,4.5068,8.5080,4.4800,-3.8700,2.6700,2.9500,0.3300
1929-08,22.6381,-22.6228,0.6931,12.1089,8.1400,-9.7500,0.3200,4.4000,0.4000
1929-09,-5.1280,1.7957,-2.3434,7.0396,-5.4500,1.3400,-0.7900,2.9600,0.3500
1929-10,-21.2442,-4.5655,42.7209,5.7993,-20.0700,-4.9500,7.5400,2.4400,0.4600
1929-11,-0.6780,-0.0978,1.7836,-0.9141,-12.8700,-0.8800,5.0500,-2.0700,0.3700
1929-12,0.1072,-0.6489,-0.0672,2.3118,1.2800,-4.1000,-0.1400,5.4300,0.3700
1930-01,1.8300,2.1575,-1.5122,-2.5125,5.6100,3.4900,-1.0300,-5.4600,0.1400
1930-02,6.3762,0.4419,0.4749,1.3331,2.5000,0.2800,0.2800,1.1500,0.3000
